Id,DetectedCamera,AngleOfSign,SignAspectRatio,SignWidth,SignHeight,SignFacing (Target)
2c9180975a056a64015a1dee86696cd9,Right,55,0.87,109,126,Front
2c9180975a056a64015a1e01db306f44,Right,78,0.59,75,127,Front
2c9180975a056a64015a1dee5d166cd1,Rear,204,0.97,58,60,Rear
2c9180975a056a64015a1ddc0bd36b21,Rear,202,1.05,59,56,Rear
2c9180975a056a64015a1df843fd6dbd,Right,70,0.5,59,119,Front
2c9180975a056a64015a1e58c1407a8d,Left,261,0.33,26,79,Rear
2c9180975a056a64015a1e6cb57a7c39,Rear,203,1,43,43,Rear
2c91809a59f17e5d015a21a5627830de,Front,34,1.01,84,83,Front
2c91809a59f17e5d015a21a5627830df,Front,23,1.06,103,97,Front
2c9180975a056a64015a1ddebacd6b56,Front,25,0.86,83,97,Front
2c9180975a056a64015a1e4c3a117921,Rear,203,1.02,59,58,Rear
2c9180975a056a64015a1e630c227b80,Right,59,0.86,167,195,Front
2c9180975a056a64015a1dee29f76cc7,Rear,210,1.05,65,62,Rear
2c9180975a056a64015a1dee29f76cc6,Front,20,0.92,55,60,Front
2c9180975a056a64015a1df0d6066cf2,Front,20,1.01,96,95,Front
2c9180975a056a64015a1dfb2f626e3e,Front,22,1,68,68,Front
2c9180975a056a64015a1dc26fe66860,Rear,205,1.03,68,66,Rear
2c9180975a056a64015a1e074c876fec,Rear,198,1.07,58,54,Rear
2c9180975a056a64015a1dc26fe66864,Front,15,0.98,78,80,Front
2c9180975a056a64015a1e5b850e7ae4,Rear,200,1.16,64,55,Rear
2c9180975a056a64015a1de468f06bb3,Front,12,1,52,52,Front
2c9180975a056a64015a1e5b850e7ae0,Rear,195,1.05,46,44,Rear
2c9180975a056a64015a1de468f06bb6,Rear,205,1.03,69,67,Rear
2c9180975a056a64015a1de468f06bb4,Rear,208,1.02,95,93,Rear
2c91809e5aba7d25015acd6875ca2097,Left,248,0.76,70,92,Rear
2c91809e5aba7d25015acd6875ca20a6,Rear,204,0.98,78,80,Rear
2c9180845aba7d30015acd98669002cf,Right,72,1.02,114,112,Front
2c9180a35b853b13015b8b8c25f75365,Front,19,0.94,125,133,Front
2c91808e5aba7da4015acd419c8a57ef,Front,26,0.97,116,119,Front
2c91808e5aba7da4015acd3f993557d2,Right,67,0.93,115,124,Front
2c9180935b853a2d015b8b9b42525151,Right,67,0.93,115,124,Front
2c91808e5aba7da4015acd3f993557cf,Rear,203,0.69,46,67,Rear
2c91809e5aba7d25015acd4a4ef21f0c,Rear,228,0.91,135,148,Rear
2c9180ad5b853aa1015b8b8a84325536,Front,16,0.96,68,71,Front
2c91808e5aba7da4015acd3f655a57bc,Left,245,0.94,104,111,Rear
2c91808e5b853b1a015b8b88bca84d1a,Front,23,0.85,94,111,Front
2c91809e5aba7d25015acd4a4ef21f09,Rear,192,0.89,32,36,Rear
2c91808d5aba7da4015acd3f1f015be1,Front,16,0.82,54,66,Front
2c9180975a056a64015a1e5865077a5f,Front,18,1.04,59,57,Front
2c9180975a056a64015a1e44cfea77fb,Rear,197,0.76,38,50,Rear
2c9180975a056a64015a1e4bc3fa78f2,Right,62,0.98,115,117,Front
2c91809a59f17e5d015a21bde7a934f1,Front,44,1.05,113,108,Front
2c9180975a056a64015a1e55b78a79f3,Front,22,0.99,75,76,Front
2c9180975a056a64015a1e55b78a79f2,Rear,201,0.89,39,44,Rear
2c9180975a056a64015a1e6ed9d67c4c,Right,78,0.44,58,132,Front
2c9180975a056a64015a1e6ed9d67c4b,Left,245,0.73,56,77,Rear
2c91809a59f17e5d015a21a830a03131,Front,32,0.89,109,123,Front
2c9180975a056a64015a1e6ed9d67c46,Rear,229,0.7,66,94,Rear
2c9180975a056a64015a1e627fb17b5e,Left,263,0.64,46,72,Front
2c9180975a056a64015a1e627fb17b56,Left,234,1.33,44,33,Rear
2c91809659f86230015a08c500dd6dbd,Front,19,0.94,80,85,Front
2c91809659f86230015a0a2596bb2eb7,Right,42,1.03,102,99,Front
2c91809659f86230015a0886ce2a6828,Front,17,1.05,41,39,Front
2c91809659f86230015a0811d9775e27,Rear,213,1.19,43,36,Rear
2c91809659f86230015a0886ce2a682c,Right,45,1.24,244,196,Front
2c91809659f86230015a099b02860d6e,Right,75,0.55,41,74,Front
2c91809659f86230015a0864733f6529,Right,44,1.22,245,201,Front
2c91809659f86230015a08ac90ce6ba6,Front,26,0.95,104,110,Front
2c91809659f86230015a0872ec18667c,Rear,224,1.01,122,121,Rear
2c91808d5aba7da4015acde018f764ac,Right,61,0.86,89,103,Front
2c91808d5aba7da4015acde018f764aa,Rear,222,0.84,61,73,Rear
2c91808d5aba7da4015acde018f764a5,Right,61,0.96,106,110,Front
2c91808d5aba7da4015acde018f764a2,Rear,228,1,68,68,Rear
2c91809e5aba7d25015acde2402b2b28,Right,45,1.21,178,147,Front
2c9180845aba7d30015acdbd097004cf,Rear,208,1.11,42,38,Rear
2c9180a35b853b13015b8bb2ab0455c2,Front,20,0.92,57,62,Front
2c91808e5aba7da4015acd9760c05c19,Rear,212,1.05,41,39,Rear
2c91808d5aba7da4015acdaa928a6139,Front,18,0.92,72,78,Front
2c91808d5aba7da4015acd7e94115ef8,Front,26,0.94,96,102,Front
2c91809e5aba7d25015acd799cb12206,Right,66,0.65,86,133,Front
2c9180a35b853b13015b8bc3d9c256d6,Front,18,0.94,59,63,Front
2c91809e5aba7d25015acd6cad9c20fa,Front,18,0.94,59,63,Front
2c9180a35b853b13015b8bc3603156c3,Front,22,1.08,64,59,Front
2c91808e5b853b1a015b8b9ce3424e44,Front,23,0.96,102,106,Front
2c91809e5aba7d25015acd792dfc21f8,Left,240,0.83,72,87,Rear
2c91809e5aba7d25015acd792dfc21f7,Front,23,0.96,102,106,Front
2c91809e5aba7d25015acdd948f62aac,Rear,197,1.05,41,39,Rear
2c91808e5aba7da4015acde486e76120,Front,23,0.95,76,80,Front
2c91808e5aba7da4015acde2207160e2,Front,20,1,51,51,Front
2c91808e5aba7da4015acde486e76111,Left,244,0.75,33,44,Rear
2c91808e5aba7da4015acddfaf4660b1,Right,70,0.55,58,105,Front
2c91808e5aba7da4015acddfaf4660a7,Right,46,1.23,249,202,Front
2c91808d5aba7da4015acdec7849655e,Rear,219,1.31,109,83,Rear
2c91808d5aba7da4015acdec7849654e,Right,78,0.51,57,112,Front
2c91808d5aba7da4015acdec78496551,Front,35,0.92,119,130,Front
2c91808d5aba7da4015acdec78496554,Right,54,0.87,130,150,Front
2c9180975a056a64015a1e2d0f6074cc,Front,40,1.23,140,114,Front
2c9180975a056a64015a1e552aa279e6,Front,15,0.91,41,45,Front
2c9180975a056a64015a1e5f2efb7b2d,Front,17,0.88,73,83,Front
2c9180975a056a64015a1e3f26a4771b,Left,256,0.45,43,95,Rear
2c9180975a056a64015a1e3f26a47716,Front,27,1.03,120,117,Front
2c9180975a056a64015a1e3f26a47712,Rear,228,0.86,108,126,Rear
2c9180975a056a64015a1e45b9a57842,Right,50,1.12,141,126,Front
2c9180975a056a64015a1e2d3dda74d1,Front,27,1,88,88,Front
2c9180975a056a64015a1e45b9a57841,Rear,220,0.86,89,103,Rear
2c9180975a056a64015a1e5853567a3d,Left,249,0.61,46,76,Rear
2c9180975a056a64015a1e58d40e7aa6,Right,68,0.61,90,147,Front
2c9180975a056a64015a1e5853567a58,Right,75,0.5,27,54,Front
2c9180975a056a64015a1e5853567a59,Rear,210,0.89,32,36,Rear
2c9180975a056a64015a1e58d40e7a9d,Front,23,1.03,36,35,Front
2c9180975a056a64015a1e44e95b7810,Left,240,0.76,68,90,Rear
2c9180845aba7d30015acdc86667056c,Right,60,0.83,76,92,Front
2c91809e5aba7d25015acdc01e892898,Front,53,1.02,126,124,Front
2c9180845aba7d30015acdc86667056b,Rear,211,1.07,46,43,Rear
2c91808e5aba7da4015acd4229d357ff,Right,47,1.13,141,125,Front
2c91809e5aba7d25015acd3757f71e0b,Front,29,1.02,133,131,Front
2c91808d5aba7da4015acdd9284b6414,Front,15,0.94,73,78,Front
2c91808d5aba7da4015acdd9284b6429,Rear,211,0.98,40,41,Rear
2c91808e5b853b1a015b8b67599c4a67,Rear,215,1.1,100,91,Rear
2c9180845aba7d30015acdaa5f9703b4,Front,24,0.96,82,85,Front
2c91808e5aba7da4015acd4229d35801,Right,69,0.94,95,101,Front
2c9180845aba7d30015acdaa5f9703af,Left,246,0.94,61,65,Rear
2c91808d5aba7da4015acd4cef4c5cf8,Rear,222,1.06,67,63,Rear
2c91808e5b853b1a015b8b93bdf24dae,Front,37,0.92,168,182,Front
2c9180ad5b853aa1015b8c0df5d85c0b,Front,323,0.88,57,65,Front
2c91808e5aba7da4015acdba35e15e79,Front,314,1.03,40,39,Front
2c91809e5aba7d25015acdc01e89288f,Right,129,1.03,79,77,Rear
2c9180a35b853b13015b8b57334a503f,Right,58,1.02,229,225,Front
2c91808d5aba7da4015acd4ac98d5cdd,Right,58,1.02,229,225,Front
2c9180ad5b853aa1015b8b65e92d5251,Front,32,1.06,88,83,Front
2c91808e5aba7da4015acd5409db58fa,Front,32,1.06,88,83,Front
2c91808e5aba7da4015acd5409db58f4,Left,253,0.47,24,51,Rear
2c9180ad5b853aa1015b8c0df5d85bfc,Front,31,1,255,254,Right
2c91808d5aba7da4015acd4ac98d5cdf,Left,247,0.86,60,70,Rear
2c9180a35b853b13015b8b57334a5041,Left,247,0.86,60,70,Front
2c91808d5aba7da4015acd4ac98d5cdc,Front,25,0.94,122,130,Front
2c91808e5aba7da4015acd5409db58f8,Front,30,1.07,111,104,Front
2c91808e5aba7da4015acd9f8e0d5c93,Front,20,1.05,69,66,Front
2c9180935b853a2d015b8bd0b96954b0,Front,21,1.12,86,77,Front
2c91808e5aba7da4015acd9f8e0e5c9a,Front,21,1.12,86,77,Front
2c91809e5aba7d25015acd4d0d041f48,Rear,222,1.01,74,73,Rear
2c91809e5aba7d25015acd4d0d041f4d,Front,16,0.92,36,39,Front
2c9180ad5b853aa1015b8b69c6a9528e,Front,14,0.95,89,94,Front
2c9180ad5b853aa1015b9253c7b92b67,Front,346,1.11,42,38,Front
2c9180935b853a2d015b8b8fe22a50ca,Front,19,1.05,101,96,Front
2c91809e5aba7d25015acd5a00602027,Rear,213,1.14,42,37,Rear
2c91808e5aba7da4015acd44d6df5830,Rear,209,1.3,65,50,Rear
2c91809e5aba7d25015acd5a00602028,Right,47,1.29,145,112,Front
2c91809e5aba7d25015acd41bc7f1e70,Rear,223,1.07,75,70,Rear
2c9180ad5b853aa1015b8b5514475173,Right,63,0.73,191,262,Front
2c91809e5aba7d25015acd41bc7f1e75,Right,63,0.73,191,262,Front
2c91808e5aba7da4015acd9843905c34,Left,248,0.75,49,65,Rear
2c91808e5b853b1a015b8ba12a9c4e68,Right,88,0.96,44,46,Right
2c91808e5b853b1a015b8b72f2ef4bfa,Left,248,0.63,32,51,Rear
2c91808e5b853b1a015b8b65b1984a30,Front,18,0.94,132,140,Front
2c91809e5aba7d25015acd4a8a4c1f19,Front,18,0.94,132,140,Front
2c91809e5aba7d25015acd4a8a4c1f27,Front,23,0.88,52,59,Front
2c91808e5aba7da4015acd4a1b465876,Front,355,0.92,34,37,Front
2c91808e5aba7da4015acd4a1b465875,Front,42,1,139,139,Front
2c9180935b853a2d015b8b65c9ab4d41,Front,42,1,139,139,Front
2c9180ad5b853aa1015b8b622ac55218,Left,245,0.78,39,50,Rear
2c9180a35b853b13015b8b57334a5049,Left,246,0.66,44,67,Rear
2c9180ad5b853aa1015b8b96730f5602,Rear,217,1.06,56,53,Rear
2c91808d5aba7da4015acd473c315c82,Front,20,0.97,65,67,Front
2c9180935b853a2d015b8b5c6a6f4cbb,Rear,213,0.86,32,37,Rear
2c91808e5b853b1a015b8b69ace84ac5,Right,46,1.14,114,100,Rear
2c91808e5aba7da4015acd4f9c6658c4,Right,46,1.14,114,100,Front
2c91808d5aba7da4015acda20ef360a6,Rear,206,1,46,46,Rear
2c91808d5aba7da4015acd473c315c7e,Right,59,0.97,38,39,Right
2c91808e5aba7da4015acda32f655cd0,Left,227,1.31,84,64,Rear
2c91809e5aba7d25015acdb1cb2a2747,Right,52,1.08,144,133,Front
2c91808e5aba7da4015acd5a21f1594b,Left,253,0.55,56,101,Rear
2c9180a35b853b13015b9226a1482244,Right,52,1.08,144,133,Front
2c9180ad5b853aa1015b8b7bd6ec53d6,Right,67,1.04,135,130,Front
2c91808e5aba7da4015acd5a21f1594e,Right,67,1.04,135,130,Front
2c91808e5aba7da4015acd5a21f15951,Left,264,0.75,55,73,Front
2c9180935b853a2d015b8b8324be4f2e,Right,55,0.99,197,199,Front
2c91808e5aba7da4015acd4cd579589f,Right,99,0.91,41,45,Front
2c91808e5aba7da4015acd5a4301596d,Front,28,0.94,194,207,Front
2c91808e5aba7da4015acd5a43015968,Front,23,0.96,114,119,Front
2c9180935b853a2d015b8b6961c34d73,Front,19,1.02,153,150,Front
2c91808e5aba7da4015acd5a62bc5978,Rear,200,1.03,37,36,Rear
2c91808e5aba7da4015acd5a43015962,Left,309,1.31,47,36,Front
2c9180ad5b853aa1015b8b88d3705522,Rear,219,0.96,51,53,Rear
2c91809e5aba7d25015acde7c2c62b7b,Rear,229,0.79,56,71,Rear
2c9180ad5b853aa1015b8b88d3705525,Front,22,1.07,116,108,Front
2c91809e5aba7d25015acde7c2c62b79,Left,229,1.09,59,54,Rear
2c91809e5aba7d25015acde7c2c62b77,Right,104,1.05,69,66,Rear
2c91809e5aba7d25015acde7c2c62b74,Right,73,0.87,129,148,Front
2c91808d5aba7da4015acdd3fa8963bc,Right,55,1.11,207,186,Front
2c91809e5aba7d25015ace00934a2ca0,Left,250,0.57,44,77,Rear
2c91809e5aba7d25015ace00934a2ca5,Right,68,0.76,142,188,Front
2c9180ad5b853aa1015b8b730c72535a,Rear,224,1.07,77,72,Rear
2c91808d5aba7da4015acd4493735c40,Rear,224,1.07,77,72,Rear
2c91808d5aba7da4015acd4493735c44,Right,60,1.05,272,258,Front
2c91809e5aba7d25015acdea20572ba7,Front,47,0.91,128,140,Front
2c91808d5aba7da4015acd4493735c4a,Rear,212,0.79,54,68,Rear
2c91808e5b853b1a015b8b7f8bf74cb2,Rear,212,0.79,54,68,Rear
2c91808d5aba7da4015acd4d46cd5d0f,Rear,219,0.95,69,73,Rear
2c9180845aba7d30015acd5f0a94011e,Right,68,0.65,191,292,Front
2c9180845aba7d30015acd5f0a94011c,Front,40,1.12,143,128,Front
2c91808e5aba7da4015acd5a4301596c,Rear,215,1.37,41,30,Rear
2c9180ad5b853aa1015b8b61066151fc,Rear,219,0.98,54,55,Rear
2c9180ad5b853aa1015b8be0a8835a15,Left,254,0.42,28,67,Rear
2c9180ad5b853aa1015b8b88d3705516,Front,24,0.94,150,159,Front
2c9180935b853a2d015b8b9a210c514b,Front,24,0.92,145,158,Front
2c91809e5aba7d25015acd722bec217c,Right,50,1.42,275,194,Front
2c9180a35b853b13015b8b778558522d,Left,232,0.92,58,63,Rear
2c91808e5aba7da4015acd68cea25a0a,Front,18,0.92,140,153,Front
2c9180a35b853b13015b8b7785585232,Front,27,0.95,159,167,Front
2c91808e5aba7da4015acd68cea15a01,Left,246,0.67,37,55,Rear
2c9180a35b853b13015b8b7785585236,Front,14,0.95,86,91,Front
2c91808e5b853b1a015b8b9c5cfb4e36,Front,23,0.88,105,119,Front
2c91808e5aba7da4015acd68cea25a11,Front,23,0.88,105,119,Front
2c91809659f86230015a095c044c020f,Front,21,0.92,97,106,Front
2c91809659f86230015a07e6fefd5a01,Front,16,0.91,40,44,Front
2c91809659f86230015a095c044c0213,Rear,204,0.9,64,71,Rear
2c91809659f86230015a09a635dc0f2f,Front,21,0.89,77,87,Front
2c91809659f86230015a0a31b8a531d8,Front,25,0.94,127,135,Front
2c91809659f86230015a08913d696919,Rear,196,0.85,46,54,Rear
2c91809659f86230015a08d006806f3e,Rear,206,1.12,86,77,Rear
2c91809659f86230015a08d006806f3d,Right,47,1.13,270,238,Front
2c91809659f86230015a0853b4356380,Right,96,1.06,57,54,Right
2c91809659f86230015a0853b4356384,Right,86,0.98,52,53,Right
2c91809659f86230015a09b5d5e012ae,Left,275,1.07,48,45,Left
2c91809659f86230015a09b5d5e012ab,Right,76,0.57,124,216,Front
2c91809659f86230015a091d8658782a,Rear,195,0.73,41,56,Rear
2c91808e5b853b1a015b8bcca06e5132,Right,51,1.44,39,27,Front
2c91809e5aba7d25015acd6bb59a20e0,Rear,217,1.14,42,37,Rear
2c91809e5aba7d25015acd6bb59a20df,Right,62,0.74,99,133,Front
2c9180ad5b853aa1015b8bca01095913,Rear,219,1.14,57,50,Rear
2c9180ad5b853aa1015b8bca01095912,Right,53,1.09,82,75,Front
2c91808e5aba7da4015acdea7a2b61a3,Front,26,1.07,95,89,Front
2c9180ad5b853aa1015b8ba95f51572a,Front,42,1.01,94,93,Front
2c91809e5aba7d25015acdd165072a09,Right,81,0.43,64,150,Front
2c91808d5aba7da4015acd99124c5ff9,Left,256,0.76,52,68,Rear
2c91809e5aba7d25015ad3e7e5285ad1,Left,312,1.2,159,133,Front
2c91809e5aba7d25015acda9589c2658,Right,45,1.26,269,214,Front
2c91808d5aba7da4015acd9bc1406036,Right,46,1.08,200,186,Front
2c91809e5aba7d25015acd94d6d62471,Front,16,0.92,99,108,Front
2c9180a35b853b13015b8bc948975743,Left,244,0.6,26,43,Rear
2c91808e5b853b1a015b8b9bac1e4e02,Right,50,1.13,77,68,Front
2c91808e5aba7da4015acdaf08755d6b,Right,50,1.13,77,68,Front
2c91809e5aba7d25015acdbfcf0c2864,Right,54,1.09,75,69,Front
2c91809e5aba7d25015acdc38c4328f5,Rear,217,1.05,43,41,Rear
2c91808d5aba7da4015acd6c1f235e84,Right,72,0.46,36,79,Front
2c9180845aba7d30015acdb5b8cc0443,Right,46,1.2,159,133,Front
2c91809e5aba7d25015acdd6c89f2a79,Right,72,0.44,63,142,Front
2c91809e5aba7d25015acdba15e627f1,Rear,206,1.13,60,53,Rear
2c91809e5aba7d25015acdba15e627f6,Front,22,1,62,62,Front
2c91809e5aba7d25015acdba15e627f3,Front,22,0.99,125,126,Front
2c91809e5aba7d25015acdc892a92930,Rear,221,0.93,42,45,Rear
2c91808d5aba7da4015acdc2b30e6263,Rear,225,0.95,78,82,Rear
2c9180845aba7d30015acdd72cb405eb,Right,76,0.46,40,87,Front
2c91808d5aba7da4015acdc65a906304,Front,25,1.13,138,122,Front
2c9180935b853a2d015b8b7d5aa84ec2,Left,243,0.78,75,96,Rear
2c9180935b853a2d015b8b7d5aa84ecc,Front,27,0.93,143,154,Front
2c9180935b853a2d015b8b7d5aa84ecb,Rear,208,0.96,73,76,Rear
2c91808d5aba7da4015acdc65a9062fb,Right,44,1.1,159,144,Front
2c9180935b853a2d015b8b7d5aa84ece,Front,29,1.01,161,160,Front
2c9180935b853a2d015b8b7d5aa84ecd,Left,244,0.63,63,100,Rear
2c91808d5aba7da4015acdc65a9062ef,Right,60,0.76,87,115,Front
2c91808d5aba7da4015acddb8bfb6467,Rear,220,0.94,73,78,Rear
2c91808d5aba7da4015acdcabe7a6336,Rear,213,1.09,48,44,Rear
2c91809e5aba7d25015acdd6c89f2a65,Left,231,1.11,89,80,Rear
2c91809e5aba7d25015acdd6c89f2a66,Front,23,1.12,83,74,Front
2c91808d5aba7da4015acddb8bfb6464,Right,59,0.91,204,225,Front
2c9180845aba7d30015acdb5b8cc0452,Front,18,1.13,108,96,Front
2c91809e5aba7d25015acdc892a92935,Right,49,1.58,49,31,Front
2c9180845aba7d30015acdb5b8cc044e,Front,23,1.01,137,136,Front
2c91808d5aba7da4015acdd706d263d9,Right,53,1.01,146,144,Front
2c91808d5aba7da4015acdd706d263f6,Right,65,0.72,98,136,Front
2c9180975a056a64015a1e3bb15b76a6,Front,18,0.97,61,63,Front
2c9180975a056a64015a1e296a087427,Rear,196,0.88,38,43,Rear
2c9180975a056a64015a1e296a08742b,Right,56,0.86,137,160,Front
2c91809a59f17e5d015a21a48da730bc,Front,22,1.12,119,106,Front
2c9180975a056a64015a1e556ce479ea,Right,56,0.97,126,130,Front
2c91809a59f17e5d015a21a7937830f8,Front,19,0.75,52,69,Front
2c91809a59f17e5d015a21bed0cb3548,Right,46,1.31,134,102,Front
2c9180975a056a64015a1e58ec867aba,Right,46,1.09,110,101,Front
2c91809a59f17e5d015a21bed0cb3546,Rear,206,0.71,34,48,Rear
2c9180975a056a64015a1e58ec867abd,Rear,227,1.04,93,89,Rear
2c9180975a056a64015a1e58ec867abf,Left,245,0.66,31,47,Rear
2c9180975a056a64015a1e58ec867ac2,Right,50,1.12,299,268,Front
2c91809a59f17e5d015a21a4e95230ca,Rear,219,1.07,76,71,Rear
2c91809a59f17e5d015a21bed0cb353f,Left,259,0.53,36,68,Rear
2c91809a59f17e5d015a21a4e95230c9,Right,58,1.02,88,86,Front
2c91808e5aba7da4015acda5b92e5d00,Rear,212,1.18,124,105,Rear
2c91808e5aba7da4015acdd6a31a6002,Front,28,1.06,182,171,Front
2c91808e5aba7da4015acda5b92e5cfe,Right,69,0.59,154,259,Front
2c9180935b853a2d015b8bc9ea265439,Rear,199,0.92,48,52,Rear
2c91808e5aba7da4015acd84a62d5b32,Front,18,0.97,97,100,Front
2c91808e5aba7da4015acd84a62d5b33,Rear,199,0.92,48,52,Rear
2c91808e5aba7da4015acdd3b8075fb6,Right,42,1.14,162,142,Front
2c91808e5b853b1a015b8b6b29224b05,Right,65,0.76,113,148,Front
2c91808e5aba7da4015acd9c30e35c6b,Front,17,0.98,87,89,Front
2c9180ad5b853aa1015b8bb57f6c57ae,Front,17,0.98,87,89,Front
2c9180ad5b853aa1015b8bb71bbc57e8,Front,27,1.11,132,119,Front
2c9180ad5b853aa1015b8b5c9a7951e3,Right,54,1.02,130,127,Front
2c91809e5aba7d25015acdb231c42759,Right,60,0.88,90,102,Front
2c9180845aba7d30015acdb982890479,Front,27,1.11,132,119,Front
2c91808d5aba7da4015acdaab72c613e,Rear,205,1.06,67,63,Rear
2c91808e5aba7da4015acdd3964e5fa3,Rear,226,1.05,135,128,Rear
2c9180ad5b853aa1015b8b7b88c653c7,Right,65,0.95,116,122,Front
2c91808e5aba7da4015acddfd49560b8,Rear,221,0.98,82,84,Rear
2c91809e5aba7d25015acda2961925aa,Right,52,1.03,116,113,Front
2c91808e5ba960a0015bab2ba36a1587,Right,52,1.03,116,113,Front
2c91808e5aba7da4015acddfd49560ba,Front,20,0.97,67,69,Front
2c91809e5aba7d25015acdd6812d2a5d,Left,225,1.22,66,54,Rear
2c91808e5ba960a0015bab2ba36a1585,Right,57,1.05,86,82,Front
2c91808e5aba7da4015acde4a8836128,Front,15,1.09,48,44,Front
2c91808e5aba7da4015acdad718f5d54,Front,39,1.13,94,83,Front
2c91808e5ba960a0015bab2ba36a1583,Rear,219,0.97,60,62,Rear
2c91808e5aba7da4015acdad718f5d4f,Right,47,1.29,216,167,Front
2c9180ad5b853aa1015b8be26d245a50,Rear,205,0.92,36,39,Rear
2c91809e5aba7d25015acda9c7fc26b1,Right,58,0.85,191,224,Front
2c9180845aba7d30015acd9f1bc4032d,Rear,206,1.02,47,46,Rear
2c9180ad5b853aa1015b8be26d245a4c,Right,58,0.85,191,224,Front
2c9180ad5b853aa1015b8b8fdfc955a2,Front,19,0.9,93,103,Front
2c9180ad5b853aa1015b8b8fdfc9559f,Rear,215,1.05,39,37,Rear
2c91808e5ba960a0015bad751c8c4c33,Front,18,0.94,49,52,Front
2c9180ad5b853aa1015b8b8fdfc95595,Right,70,0.64,35,55,Front
2c9180ad5b853aa1015b8b8fdfc95598,Rear,210,1.05,40,38,Rear
2c9180ad5b853aa1015b8b8fdfc95594,Right,68,0.78,59,76,Front
2c91809e5aba7d25015acde263442b33,Front,21,0.98,85,87,Front
2c9180845aba7d30015acd9f1bc4032b,Right,73,0.62,99,160,Front
2c9180845aba7d30015acd9f1bc3031c,Left,250,0.74,55,74,Rear
2c9180a35b853b13015b8bde0f00589e,Front,12,0.9,57,63,Front
2c9180a35b853b13015b8bde0f00589d,Left,250,0.74,55,74,Rear
2c9180845aba7d30015acd9f1bc3031d,Front,12,0.9,57,63,Front
2c9180845aba7d30015acd9f1bc3031b,Right,60,0.8,210,261,Front
2c91809e5aba7d25015acda942fe2647,Rear,207,1.07,91,85,Rear
2c91808e5ba96106015bab383cc0162f,Front,12,0.91,61,67,Front
2c91809e5aba7d25015acda942fe2646,Front,13,0.95,54,57,Front
2c91809e5aba7d25015acd9fba2f256b,Left,241,0.84,98,116,Rear
2c91808e5aba7da4015acde4a883613d,Front,21,0.9,56,62,Front
2c91808e5ba96106015bab34855f1597,Right,66,0.65,147,226,Front
